Metric,Value
minAngle,0.0
trajectorySlope,0.0
maxAngle,0
points,"[[0.0, 28.68311882019043, -23.963404205456357], [0.0, 28.68311882019043, -23.963404205456357], [0.0, 28.68311882019043, -23.963404205456357], [0.0, 28.68311882019043, -23.963404205456357], [0.0, 28.68311882019043, -23.963404205456357], [0.0, 28.68311882019043, -23.963404205456357], [0.0, 28.68311882019043, -23.963404205456357], [0.0, 28.68311882019043, -23.963404205456357], [0.0, 28.68311882019043, -23.963404205456357]]"
minDistance,inf
maxDistance,0
